ANYO,MES,SAC,PAIS,ADUANA,VIA,VALOR,PESO
2024,2,602100000,4132,2,2,"6,123",835
2024,2,602100000,4134,2,2,"1,248",33
2024,2,602100000,4208,2,2,"1,511",32
2024,2,602100000,5341,2,2,"9,539",923
2024,2,602100000,5402,2,2,1044,104
2024,2,602100000,5411,2,2,"22,501",947
2024,2,602100000,4112,10,3,"39,000",19500
2024,2,602100000,4122,10,3,"13,160",8818
2024,2,602100000,4128,10,3,"698,695",546102
2024,2,602100000,5168,10,3,"70,238",50000
2024,2,602100000,1005,11,3,"309,073",199263
2024,3,602100000,2102,49,1,4458,1684
2024,3,602100000,1003,2,2,"237,978",8188
2024,3,602100000,1005,2,2,"2,319,868",95416
2024,3,602100000,2101,2,2,324,2
2024,3,602100000,2208,2,2,"1,222",90
2024,3,602100000,2705,2,2,299,8
2024,3,602100000,4104,2,2,"11,888",461
2024,3,602100000,4113,2,2,"2,102",21
2024,3,602100000,4122,2,2,"19,348",1503
2024,3,602100000,4128,2,2,"271,994",20205
2024,3,602100000,4132,2,2,10601,1491
2024,3,602100000,4208,2,2,"1,681",36
2024,3,602100000,5113,2,2,726,10
2024,3,602100000,5333,2,2,"2,271",40
2024,3,602100000,5341,2,2,330,63
2024,3,602100000,5402,2,2,"3,866",78
2024,3,602100000,5406,2,2,1861,248
2024,3,602100000,5411,2,2,"11,764",556
2024,3,602100000,4122,10,3,"46,656",32833
2024,3,602100000,4128,10,3,"359,662",327453
2024,3,602100000,5103,10,3,"29,670",25000
2024,3,602100000,1005,11,3,"383,645",235437
2024,3,602100000,5411,15,3,"25,000",38216
2024,4,602100000,2102,49,1,2769,666
2024,4,602100000,1003,2,2,72120,6995
2024,4,602100000,1005,2,2,1669528,383651
2024,4,602100000,1007,2,2,10480,153
2024,4,602100000,2705,2,2,1236,137
2024,4,602100000,4104,2,2,12071,426
2024,4,602100000,4106,2,2,6877,173
2024,4,602100000,4113,2,2,2136,179
2024,4,602100000,4122,2,2,16191,1215
2024,4,602100000,4128,2,2,371889,29346
2024,4,602100000,4132,2,2,5641,794
2024,4,602100000,5333,2,2,336,35
2024,4,602100000,5406,2,2,285,45
2024,4,602100000,5411,2,2,18468,776
2024,4,602100000,4128,10,3,482158,432906
2024,4,602100000,5168,10,3,65415,28757
2024,4,602100000,1005,11,3,297524,185032
2024,5,602100000,1003,2,2,51650,5361
2024,5,602100000,1005,2,2,1255752,87609
2024,5,602100000,2705,2,2,3016,225
2024,5,602100000,4104,2,2,20055,1014
2024,5,602100000,4106,2,2,2976,102
2024,5,602100000,4113,2,2,2483,123
2024,5,602100000,4122,2,2,20235,1688
2024,5,602100000,4128,2,2,402270,31965
2024,5,602100000,4132,2,2,6553,749
2024,5,602100000,4208,2,2,1869,232
2024,5,602100000,5113,2,2,767,14
2024,5,602100000,5333,2,2,1145,126
2024,5,602100000,5341,2,2,540,184
2024,5,602100000,5404,2,2,57,1
2024,5,602100000,5411,2,2,4958,723
2024,5,602100000,4112,10,3,14000,25000
2024,5,602100000,4122,10,3,35299,24996
2024,5,602100000,4128,10,3,684805,592448
2024,5,602100000,5168,10,3,83671,51974
2024,5,602100000,1005,11,3,219229,160508
2024,5,602100000,5411,15,3,23000,38099
2024,6,602100000,2102,49,1,3050,608
2024,6,602100000,1003,2,2,63244,5511
2024,6,602100000,1005,2,2,1846145,70758
2024,6,602100000,2208,2,2,4532,928
2024,6,602100000,2354,2,2,216,10
2024,6,602100000,3201,2,2,1914,33
2024,6,602100000,3503,2,2,3480,150
2024,6,602100000,4104,2,2,5103,198
2024,6,602100000,4113,2,2,1040,14
2024,6,602100000,4122,2,2,27253,2905
2024,6,602100000,4128,2,2,318268,23169
2024,6,602100000,4132,2,2,4211,1271
2024,6,602100000,4134,2,2,3029,119
2024,6,602100000,5113,2,2,934,11
2024,6,602100000,5333,2,2,368,31
2024,6,602100000,5411,2,2,27228,1709
2024,6,602100000,7323,2,2,265,5
2024,6,602100000,4122,10,3,60084,33862
2024,6,602100000,4128,10,3,580757,521850
2024,6,602100000,5103,10,3,27825,25000
2024,6,602100000,5168,10,3,84924,53650
2024,6,602100000,1005,11,3,385830,243339
2024,6,602100000,5411,15,3,35000,45013
2024,1,602201000,2104,107,1,"57,600",5104
2024,1,602201000,2102,49,1,"18,001",5592
2024,1,602201000,1005,2,2,"3,508",14893
2024,1,602201000,4128,2,2,1,12
2024,2,602201000,2102,49,1,"14,121",4380
2024,2,602201000,1005,2,2,"6,635",17605
2024,3,602201000,2102,49,1,"15,052",4415
2024,3,602201000,1005,2,2,"3,990",16144
2024,4,602201000,2102,49,1,9329,2556
2024,4,602201000,1005,2,2,2880,13828
2024,5,602201000,2104,34,1,24750,4126
2024,5,602201000,2102,49,1,18881,4438
2024,5,602201000,1005,2,2,4201,19734
2024,5,602201000,1005,11,3,1415,16812
